1.3988	0
1.4	-nan
1.4012	-nan
1.4024	-nan
1.4036	-nan
1.4048	-nan
1.406	-nan
1.4072	-nan
1.4084	-nan
1.4096	-nan
1.4108	-nan
1.412	-nan
1.4132	-nan
1.4144	-nan
1.4156	-nan
1.4168	-nan
1.418	-nan
1.4192	-nan
1.4204	-nan
1.4216	-nan
1.4228	-nan
1.424	-nan
1.4252	-nan
1.4264	-nan
1.4276	-nan
1.4288	-nan
1.43	-nan
1.4312	-nan
1.4324	-nan
1.4336	-nan
1.4348	-nan
1.436	-nan
1.4372	-nan
1.4384	-nan
1.4396	-nan
1.4408	-nan
1.442	-nan
1.4432	-nan
1.4444	-nan
1.4456	-nan
1.4468	-nan
1.448	-nan
1.4492	-nan
1.4504	-nan
1.4516	-nan
1.4528	-nan
1.454	-nan
1.4552	-nan
1.4564	-nan
1.4576	-nan
1.4588	-nan
1.4612	0
